,博物馆名称,新闻来源,新闻标题,简介内容,次级新闻网站,新闻发布时间
14,中国国家博物馆,['喜马拉雅APP'],中国除了故宫博物院，还有这8大博物馆值得一去,"中国国家博物馆位于北京市中心天安门广场东侧,其总建筑面积20万平方米,藏品数量为100余万件,展厅数量48个,是世界上单体建筑面积最大的博物馆。 无论...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6718995722907157004%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年7月29日
15,中国国家博物馆,['小马谈古今'],中国五大博物馆，你都去过几个呢?,"中国国家博物馆是世界上建筑面积最大的博物馆,总建筑面积近20万平方米。总用地面积7万平方米。建筑高度42.5米,地上5层,地下2层。国博藏品数量为100余...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6852532609327563264%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年7月24日
16,中国国家博物馆,['看着吃着玩着'],中国国家博物馆参观记,"南边是中国历史博物馆,1999年秋天我还进入看过一次书展,2003年这里改名成为“中国国家博物馆”。 很长时间就想到国家博物馆再参观一下,因此就提前在...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6937584777860006408%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年3月9日
17,中国国家博物馆,['国馆宝藏'],高能预警丨奉上一篇最新最全的《中国国家博物馆游览攻略》,"中国国家博物馆是世界上单体建筑面积最大的博物馆,总建筑面积近20万平方米,是历史与艺术并重,集收藏、展览、研究、考古、公共教育、文化交流于一体的...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6795708237795557896%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年2月21日
18,中国国家博物馆,['大同政法'],中国国家博物馆 “镇馆之宝”,"中国国家博物馆位于北京市天安门广场东侧,中国国家博物馆建筑面积20多万平方米,是世界上单体建筑面积最大的博物馆。中国国家博物馆收藏有各类文物10...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6603115585804960264%2F%3Fchannel%3D%26source%3Dsearch_tab,2018年9月20日
19,中国国家博物馆,['北晚新视觉网'],你知道吗，中国国家博物馆被编为0001号的文物是它,"中国国家博物馆展览大厅里 摆放着一件国家一级文物 它是中国共产主义运动先驱 李大钊就义的绞刑架 1950年,中国革命博物馆筹建时 主要负责人之一的王...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6934881723205452295%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年3月2日
20,中国国家博物馆,['妞妈教育'],经历千难万阻，终于走进国家博物馆,"中国国家博物馆在天安门广场的左侧,一直以来都说带孩子去逛,每次想想人山人海的排队都心有余悸,曾经下定决心预约,让娃儿爹地带娃儿去,哈哈!结果爸爸...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6859582242981839360%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年8月11日
21,中国国家博物馆,['国家博物馆'],1912-2020，时光里的国家博物馆,"2003年2月,在中国历史博物馆和中国革命博物馆两馆基础上正式组建中国国家博物馆…… 从1912到2020,当时光来到今天,我们热情邀约大家一起细数,与国家...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6847061356588302859%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年7月8日
22,中国国家博物馆,['有竹居'],国家博物馆的十大镇馆国宝，太开眼了,"中国国家博物馆,是世界上建筑面积最大的博物馆,中国水平最高的考古博物馆。也是中华文物收藏量最丰富的博物馆之一,整体规模在世界博物馆中位居前列,...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6830598127314010636%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年5月25日
23,中国国家博物馆,['设计灵感精选'],中国国家博物馆--世界最大博物馆的典雅新生,"中国国家博物馆位于伟大的祖国心脏-北京天安门东侧,属于1959年十大建筑之一。 GMP在竞赛中战胜其余九个对手,比如OMA,诺曼福斯特,赫尔佐格和德梅隆。...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6661914718233428487%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年2月26日
24,中国国家博物馆,['编号1572的旅行遐想'],除了三星堆，中国还有这8个博物馆值得一去,"第二名:中国国家博物馆 隶属于中华人民共和国文化部,藏品数量140余万件,涵盖古代文物、近现代文物、图书古籍善本、艺术品等多种门类。其中,古代文物...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6943211800167088647%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年3月24日
25,中国国家博物馆,['光明网'],“中国古代服饰文化展”亮相中国国家博物馆,"人民网北京2月7日电 2月6日,“中国古代服饰文化展”在中国国家博物馆启幕。本次展览内容丰富,展品中有数十件馆藏一级品,《陇西恭献王李贞像》《孝亲...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6926437471018615304%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年2月7日
26,中国国家博物馆,['国家博物馆'],中国国家博物馆正在展出的展览,复兴之路·新时代部分:不忘初心 砥砺奋进 不断开创新时代中国特色社会主义事业新局面(南5、南10展厅) 二、专题展览 国色初光--甘肃彩陶艺术(北11展厅...,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6821060337719050763%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年4月29日
27,中国国家博物馆,['国家博物馆'],中国国家博物馆2021年春节假期开放公告,"新春将至,中国国家博物馆2021年春节期间开放时间安排如下: 2月11日(除夕)闭馆一天。 2月12日(正月初一)至2月17日(正月初六)正常开放。开馆时间为9:0...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6927195674689815053%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年2月9日
28,中国国家博物馆,['景中之旅'],中国国家博物馆,"中国国家博物馆是世界上建筑面积最大的博物馆,国博藏品数量为140余万件,涵盖古代文物、近现代文物、图书古籍善本、艺术品等多种门类,展厅数量48个,共...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6733506640949019143%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年9月8日
29,中国国家博物馆,['国家博物馆'],策展人荐展|国家博物馆这个展览中不可错过的16件国宝,"正在国家博物馆展出的 众志成城 守护文明--全国打击防范文物犯罪成果展1月26日 要和大家Say Bye 这个展览呀 展品真的很“巴适”(四川话儿,“很棒”)...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6649495294020944398%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年1月23日
30,中国国家博物馆,['上观新闻'],好书·推荐丨国家博物馆藏商代青铜“牛器”大赏,"在今天,要了解我国古代青铜器,首推的就是中国国家博物馆了。作为世界范围内的青铜器收藏重镇,国博馆藏的青铜器,不论从数量、时代跨度、器型种类,还是...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6938622637421625863%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年3月12日
31,中国国家博物馆,['高校研究生'],中国国家博物馆招46人，6成为名校生，这所师范类高校登顶,"近日中国国家博物馆公布了其录取的46名应届毕业生名单,其中65%都是985、211高校的毕业生,名校比例并不是很高,主要原因还是中国国家博物馆招录的大部...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6907197942969418248%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年12月17日
32,中国国家博物馆,['中国新闻图片网'],中国国家博物:馆藏三星堆文物 吸引民众参观,"3月26日,参观者在位于北京的中国国家博物馆内参观馆藏三星堆文物“青铜面具”。近日,四川广汉三星堆考古新发现引发全民广泛关注。中新社记者 侯宇 摄...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6943826688811893262%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年3月26日
33,中国国家博物馆,['地方之窗'],世界单体面积最大的博物馆:中国国家博物馆,"就是中国国家博物馆的简称。今天,我们头条号:地方之窗将通过一组实拍镜头,带大家看看中国国家博物馆。(图片来自东方IC) 中国国家博物馆,位于北京市中...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6668170361323913731%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年3月14日
34,中国国家博物馆,['齐居士'],中国国家博物馆,"中国国家博物馆(National Museum of China)简称国博,位于北京市中心天安门广场东侧,东长安街南侧,与人民大会堂东西相对称,是历史与艺术并重,集收藏、...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6711218610607489550%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年7月8日
35,中国国家博物馆,['八喜旅游'],快来看!这个县城有国家一级博物馆,"它是一座综合性地志博物馆,也是国家一级博物馆。它收藏文物之丰富和品类之珍贵,在中国同级博物馆中名列前茅。馆址占地39亩,建筑面积1万平方米。整体...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6963172223435817502%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年05月18日
36,中国国家博物馆,['最角建筑'],全球单体建筑面积最大的博物馆--中国国家博物馆，竟有百年历史,"中国国家博物馆简称国博,是在原中国历史博物馆和原中国革命博物馆的基础上组建而成。是历史与艺术并重,集收藏、展览、研究、考古、公共教育、文化交...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6694153108836057611%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年5月23日
37,中国国家博物馆,['国家博物馆'],中国国家博物馆公开招聘工作人员公告,"中国国家博物馆位于北京天安门广场东侧,拥有馆藏文物140万余件,是代表国家收藏、研究、展示、阐释能够充分反映中华优秀传统文化、革命文化和社会主义...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6799199582799528452%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年3月1日
38,中国国家博物馆,['国家博物馆'],中国国家博物馆关于2020年度引进高层次专业人才的公告,"中国国家博物馆是文化和旅游部直属事业单位,位于北京市天安门广场东侧,是代表国家征藏、研究、展示、阐释能够充分反映中华优秀传统文化、革命文化和...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6800267880760869387%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年3月4日
39,中国国家博物馆,['央视新闻'],古人的服饰有多美?一起来国家博物馆看看,"中国素有“衣冠王国”之美誉,此次展览是中国国家博物馆首个服饰通史类展览,按历史时期分为“先秦服饰”“秦汉魏晋南北朝服饰”“隋唐五代服饰”“宋...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6925981036081840654%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年2月6日
40,中国国家博物馆,['国家博物馆'],国博展讯 | “妙合神形--中国国家博物馆藏明清肖像画展”开展,"“妙合神形--中国国家博物馆藏明清肖像画展”,今起在国家博物馆对公众展出。现身其中的既有帝王将相,也有才子佳人,他们有的居庙堂之高,有的处江湖之...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6849648221128491523%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年7月15日
41,中国国家博物馆,['九门胡同'],中国国家博物馆之《中国古代乐器展》,"中国国家博物馆近期举办的“天地同和-中国古代乐器展”,大致反映了中国古代乐器发展演变的过程,据说得到了故宫博物院及国内多家博物馆的配合。 我对...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6935681104607347230%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年3月4日
42,中国国家博物馆,['昨夜小生'],中国国家博物馆的四大镇馆之宝,"中国国家博物馆是以历史与艺术并重,集收藏、展览、研究、教育、交流等于一体的综合性博物馆,是我国文物收藏最丰富的博物馆,也是世界上建筑面积最大的...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6937667475710722568%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年3月9日
43,中国国家博物馆,['环球网'],5月1日起中国国家博物馆有序开放,"中国国家博物馆5月1日起错峰限流预约开放。中国国家博物馆发布有序开放公告,公告显示,根据中央关于做好常态化疫情防控工作的指示精神,按照北京市疫情...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6821428490273817095%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年4月30日
44,中国国家博物馆,['国家博物馆'],新展迎新年!国博“金玉满堂”展陪您“宫”迎2021年,"皇太极半身像,中国国家博物馆藏 本单元通过庄严的宝座、帝后朝服像、常服像,代表着身份与权力的帝后玺印、信牌、御用物,供奉于盛京太庙的帝后谥宝、...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6912337370276987400%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年12月31日
45,中国国家博物馆,['国家博物馆'],中国国家博物馆疫情防控期间参观须知,"1.观众须按预约时段自北门西侧经消毒通道入馆接受安检,错过预约时段者谢绝入馆。 2.观众入馆参观时须全程佩戴口罩,与他人保持1.5米以上距离,配合做好...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6821129941019525644%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年4月29日
46,中国国家博物馆,['老猪的碎碎念'],中国国家博物馆逛完需要多长时间?,"位于北京天安门东侧的中国国家博物馆,是中国最好,展品最精美,囊括文化最全的国家级博物馆,有人说,它是我们中华民族的祖庙,也是我们炎黄子孙的祠堂,据...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6742719839137186311%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年10月1日
47,中国国家博物馆,['国家博物馆'],中国国家博物馆博士后科研工作站获评国家级优秀,"中国国家博物馆博士后科研工作站经批准于2013年成立,2019年正式启动,于同年开始招收博士后,并与中国社会科学院、清华大学、北京大学、北京师范大学等...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6921867014747275780%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年1月26日
48,中国国家博物馆,['域鉴'],近藏集粹︱中国国家博物馆近十年收藏重器通览,"近十余年来,国家博物馆新入藏青铜器、佛造像、书画碑帖、陶瓷、家具、漆器、玉器等珍贵文物藏品达40多万件!这些曾散落民间或流失海外的文物很多是国...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6811360944963191310%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年4月6日
49,中国国家博物馆,['国家博物馆'],迎新春 | 国博“中国古代钱币展”即将启幕,"值此辛丑新春之际,中国国家博物馆隆重推出中国古代钱币专题展览,就是要通过钱币这一载体,系统展示中华文明起源和发展的历史脉络,展示中华文明的灿烂...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6925738163998736910%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年2月5日
50,中国国家博物馆,['国家博物馆'],关于中国国家博物馆官网、预约系统暂停服务的公告,"因机房维护改造,中国国家博物馆将于1月7日(周四)17:00至24:00暂停官网、预约系统服务。特此公告,敬请谅解。 中国国家博物馆 2021年1月5日",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6914592688423731720%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年1月6日
51,中国国家博物馆,['文化爱旅游lz'],您能找到中国国家博物馆“十大镇馆之宝”吗?,"不知什么时候,在网上出现了中国国家博物馆“ 十大镇馆之宝 ”这个名词,只要在网上搜索中国国家博物馆,想查查攻略,这个“十大镇馆之宝”就会出现在前...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6911332954023248395%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年12月28日
52,中国国家博物馆,['国家博物馆'],中国国家博物馆卡通形象征集大赛投票通道明日开启!,"充盈的文化养分,滋润着新的创造。2020年9月28日,历时两个多月的中国国家博物馆卡通形象征集大赛结束征稿。期间,我们收到了全国各地朋友们的300余组来...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6878230559756124686%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年9月30日
53,中国国家博物馆,['北青网'],1800余件珍品亮相国博!“中国古代钱币展”重磅来袭,"日前,“中国古代钱币展”在中国国家博物馆开展。展览从中国国家博物馆馆藏钱币中精选出1800余件珍品,辅以其他类别文物200余件,分为“泉林漫步”与“...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6927528240789586445%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年2月10日
54,中国国家博物馆,['国家博物馆'],中国国家博物馆卡通形象征集大赛公告,"中国国家博物馆是代表国家收藏、研究、展示、阐释能够充分反映中华优秀传统文化、革命文化和社会主义先进文化代表性物证的最高机构,是国家最高历史文...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6847662863817900548%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年7月10日
55,中国国家博物馆,['吾行吾摄'],中国十大博物馆镇馆之宝,"中国国家博物馆是代表国家征集、收藏、保管、展示、阐释能够充分反映中华优秀传统文化、革命文化和社会主义先进文化代表性物证的最高机构,是国家最高...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6854833684730610183%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年7月30日
56,中国国家博物馆,['壹号收藏'],中国国家博物馆镇馆之宝(多图),"国博始建于1912年,1959年在天安门广场修建新馆。2003年中国国家博物馆在合并中国历史博物馆与中国革命博物馆的基础上,正式挂牌成立。2011年5月重新装...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6483242811922579982%2F%3Fchannel%3D%26source%3Dsearch_tab,2017年11月1日
57,中国国家博物馆,['秋的韵意'],中国国家博物馆，藏品量100余万件，世界上建筑面积最大的博物馆,"景点分布: 中国国家博物馆在设计上,有很多建筑特色,主要体现在观众互动体验区、中央大厅、剧场和影院、西大厅、檐口等,国博常设展览分为基本陈列和专...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6736786128029876749%2F%3Fchannel%3D%26source%3Dsearch_tab,2019年9月15日
58,中国国家博物馆,['国家博物馆'],国庆前后 | 国家博物馆开放时间&展览,"因天安门广场举行重大活动,9月30日国家博物馆闭馆一天。 2016年10月1日至7日国庆期间正常开放,欢迎您前来参观。 中国国家博物馆 2016年9月23日 【国...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6335019166559404289%2F%3Fchannel%3D%26source%3Dsearch_tab,2016年9月28日
59,中国国家博物馆,['北京正宗一哥'],北京亲子游之一起看国家博物馆10大主题展览,"中国国家博物馆即原来的中国革命历史博物馆,位于天安门广场东侧,东长安街南侧,与人民大会堂东西相对,是历史与艺术并重,集收藏、展览、研究、考古、公...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6861218651614216712%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年8月15日
60,中国国家博物馆,['中国建筑学会'],中国国家博物馆改扩建工程,"中国国家博物馆,是一座以历史与艺术为主,系统展示中华民族悠久历史文化的综合性博物馆。该项目在建于1959年的中国历史博物馆和中国革命博物馆的基础...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6855655814561006088%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年7月31日
61,中国国家博物馆,['央视新闻'],国博巡展“丹青华滋--中国国家博物馆藏清廷绘画”展览在深圳开展,"本次展览选取中国国家博物馆珍贵馆藏书画作品27件,囊括了皇室成员、宫廷画家和擅画文臣的作品,分为宗英华翰、院体方圆和馆阁风流三个单元进行展示,较...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6911647690736697870%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年12月29日
62,中国国家博物馆,['丞旸文化'],国家博物馆不仅有司母戊鼎、四羊方尊，这20件文物也都是镇国之宝,"中国国家博物馆,不但是世界上单体建筑面积最大的博物馆,也是中华文物收藏量最丰富的博物馆之一,更是全世界最受游客欢迎的博物馆之一。现有藏品数量1...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6827704999070401032%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年5月18日
63,中国国家博物馆,['点卯中国'],博物馆分布图，九大国家级博物馆和204家一级博物馆你去过几家,"博物馆“等级成绩”将被减分,甚至被取消原有等级资格。比如在2013年,北京天文馆、抗美援朝纪念馆、中国海军博物馆和华侨博物院就被取消国家一级博物...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6921126274119352844%2F%3Fchannel%3D%26source%3Dsearch_tab,2021年1月24日
64,中国国家博物馆,['国家博物馆'],中国国家博物馆2020年运维部门劳务派遣制员工招聘公告,"报名人员请自本公告发布之日起至2020年4月16日,通过中国国家博物馆官网首页公告(「链接」)中的公开招聘通道(「链接」)进行注册并报名 ,并按照相应格...",https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa6806135906097955339%2F%3Fchannel%3D%26source%3Dsearch_tab,2020年3月20日
